INCODE,ITE_DESC,ECR_DESC,DEP_CODE,UNT_PRIC,UNIT,TAXPRCNT1,TAXAMOUNT1,TAX1DIV,POS,BRANCH
CHM2,BIGG DEAL,BIGG DEAL,1,342.000,PC,12.000,19.500,9.330000,1,MAGS
CHM3,CHICKEN-KEBAB MEAL,CHKN-KEBAB,1,298.000,PC,12.000,17.360,9.330000,1,MAGS
CHM4,1PC BIGG CHICKEN,1PC BIGGCHICKN,1,149.000,PC,12.000,10.610,9.330000,1,MAGS
CHM5,2PC BIGGS CAJUN CHICKEN,2PC BIGG CAJUN,1,328.000,PC,12.000,21.320,9.330000,1,MAGS
CHM6,1PC BIGGS CAJUN CHICKEN,1PC BIGG CAJUN,1,174.000,PC,12.000,12.750,9.330000,1,MAGS
CHM7,BT-MACARONI,BT-MACARONI,1,229.000,PC,12.000,15.320,9.333333,1,MAGS
CHM8,2PC BIGGS CHICKEN,2PC BIGGCHICKN,1,278.000,PC,12.000,15.960,9.330000,1,MAGS
CHM9,SPAGHETTI W CHICKEN,SPAG CHX,1,238.000,PC,12.000,14.890,9.330000,1,MAGS
CHM10,CARBO W CHICKEN,CARBO W CHKN,1,263.000,PC,12.000,15.540,9.330000,1,MAGS
CHM11,SPAGHETTI PLATTER,SPAG PLATTER,1,267.000,PC,12.000,17.680,9.330000,1,MAGS
CHM12,CARBO PLATTER,CARBO PLATTER,1,298.000,PC,12.000,19.820,9.330000,1,MAGS
CHM13,6PCS CHICKEN IN A BOX,6PCS CHX BOX,1,739.000,PC,12.000,54.540,9.330000,1,MAGS
CHM14,8PCS CHICKEN IN A BOX,8PCS-CHX BOX,1,984.000,PC,12.000,70.610,9.330000,1,MAGS
CHM15,1PC CHICKEN W PINEAPPLE JUICE,1PC CHCKN W PJ,1,125.000,PC,12.000,13.390,9.333333,1,MAGS
CHM16,1PC CHEDDAR CHEESE,1PC CHEDDAR CH,1,0.000,PC,12.000,12.750,9.333333,1,MAGS
CHM17,1PC FLAMMING BBQ,1PC FLAMMING B,1,0.000,PC,12.000,12.750,9.330000,1,MAGS
CHM18,1PC GARLIC PARMESAN,1PC GARLIC PAR,1,0.000,PC,12.000,12.750,9.333333,1,MAGS
CHM19,2PCS CHEDDAR CHEESE,2PCS CHEDDAR C,1,0.000,PC,12.000,21.320,9.333333,1,MAGS
CHM20,2PCS FLAMMING BBQ,2PCS FLAMMING,1,0.000,PC,12.000,21.320,9.333333,1,MAGS
CHM21,CHKN GARLIC PARMESAN,CHK GARLIC PA,1,169.000,PC,12.000,17.040,9.333333,1,MAGS
CHM22,HOT CHICKEN HAVANA,HOTCHKNHAVANA,1,139.000,PC,12.000,14.890,9.333333,1,MAGS
CHM23,SQUAD-PARMESAN,SQUAD-PARMESAN,1,0.000,PC,12.000,49.180,9.330000,1,MAGS
CHM24,SPICY DUO,SPICY DUO,1,0.000,PC,12.000,49.180,9.330000,1,MAGS
CHM25,SQUAD-FLAMMING,SQUAD-FLAMMING,1,0.000,PC,12.000,49.180,9.330000,1,MAGS
CLM1,PORK CORDON BLEU,CORDON BLEU,2,333.000,PC,12.000,18.750,9.333333,1,MAGS
CLM2,PORK KEBABS,PORK KEBABS,2,333.000,PC,12.000,17.250,9.333333,1,MAGS
CLM3,BICOL SPECIAL,BICOL SPECIAL,2,333.000,PC,12.000,17.140,9.333333,1,MAGS
CLM4,TENDERLOIN TIPS W BMP,TIPS W BMP,0,189.000,PC,12.000,18.750,9.333333,1,MAGS
CLM5,TENDERLOIN TIPS,TIPS,0,323.000,PC,12.000,16.610,9.333333,1,MAGS
CLM6,KOREAN SPARE RIBS,KSR,2,433.000,PC,12.000,22.290,9.333333,1,MAGS
CLM7,SALISBURY STEAK,SALIS,2,323.000,PC,12.000,15.540,9.333333,1,MAGS
CLM8,BABY BACK RIBS,BABY BACK RIBS,2,499.000,PC,12.000,26.250,9.333333,1,MAGS
CLM9,FISH CREOLE,FISH CREOLE,2,229.000,PC,12.000,19.710,9.333333,1,MAGS
CLM10,TANGUEGUI STEAK,TANGUEGUI STEA,2,364.000,PC,12.000,17.680,9.333333,1,MAGS
CLM12,DAING NA BANGUS,DNB,2,362.000,PC,12.000,15.110,9.333333,1,MAGS
CLM13,DAING NA BANGUS W PINANGAT,DNB W PNGAT,2,175.000,PC,12.000,16.290,9.333333,1,MAGS
CLM14,BEEF SALPICAO,BEEF SALPICAO,2,332.000,PC,12.000,15.960,9.333333,1,MAGS
CLM15,MIXED VEGGIES,MIXED VEGGIES,2,109.000,PC,12.000,8.460,9.333333,1,MAGS
BRK1,AMERICAN SLAM,AMERICAN SLAM,3,297.000,PC,12.000,15.960,9.333333,1,MAGS
BRK2,COUNTRY BREAKFAST,COUNTRY B,3,286.000,PC,12.000,15.540,9.333333,1,MAGS
BRK3,BACON EGG TOAST,BET,3,129.000,PC,12.000,1275.000,9.333333,1,MAGS
BRK4,DAING NA BANGUS W EGG,DNB W EGG,3,219.000,PC,12.000,12.110,9.333333,1,MAGS
BRK5,FARMERS DELIGHT,FARMERS DELIGH,3,99.000,PC,12.000,10.180,9.333333,1,MAGS
BRK6,FRANKS N EGG,FRANKS N EGG,3,248.000,PC,12.000,12.750,9.333333,1,MAGS
BRK7,GRANDSLAM BREAKFAST,GRANDSLAM BREA,3,109.000,PC,12.000,11.250,9.333333,1,MAGS
BRK8,TOCILOG,TOCILOG,3,259.000,PC,12.000,14.250,9.333333,1,MAGS
BRK9,TAPSILOG,TAPSILOG,3,267.000,PC,12.000,15.320,9.333333,1,MAGS
BRK10,GOTO,GOTO,3,99.000,PC,12.000,6.960,9.333333,1,MAGS
BRK11,GOTO W EGG,GOTO W EGG,3,119.000,PC,12.000,8.250,9.333333,1,MAGS
BRK12,GOTO W TB,GOTO W TB,3,115.000,PC,12.000,11.460,9.333333,1,MAGS
BRK13,GOTO W EGG TB,GOTO W EGG TB,3,135.000,PC,12.000,12.750,9.333333,1,MAGS
BRK14,BREAKFAST SAUSAGE,BSAUSAGE,3,165.000,PC,12.000,14.460,9.330000,1,MAGS
BRK15,SPANISH OMELETTE,SPANISH OMELET,3,139.000,PC,12.000,14.460,9.330000,1,MAGS
BRK16,UNLI COFFEE,UNLI COFFEE,3,20.000,PC,12.000,14.460,9.330000,1,MAGS
BRK17,FARMERS OMELETTE,FARMERS OMELET,3,139.000,PC,12.000,14.460,9.333333,1,MAGS
PST1,SPAGHETTI,SPAGHETTI,4,114.000,PC,12.000,6.960,9.333333,1,MAGS
PST4,SPAGHETTI W P.BREAD,SPAG W P.BREAD,4,144.000,PC,12.000,10.610,9.333333,1,MAGS
PST2,CARBONARA,CARBONARA,4,134.000,PC,12.000,9.110,9.333333,1,MAGS
PST3,CARBONARA W P.BREAD,CARBO W P.BREA,4,174.000,PC,12.000,11.250,9.330000,1,MAGS
SHK1,RIPE MANGO SHAKE,RMS,5,159.000,PC,12.000,7.390,9.330000,1,MAGS
SHK2,HALO SUP``E,HALO SUP``E,5,105.000,PC,12.000,9.110,9.330000,1,MAGS
SHK3,HALO W O ICE CREAM,HALO W O IC,5,65.000,PC,12.000,6.960,9.330000,1,MAGS
SHK5,COOKIES N CREAM,COOKIES N CREA,5,159.000,PC,12.000,7.390,9.330000,1,MAGS
SHK6,PINEAPPLE CARROT SHAKE,PC SHAKE,5,75.000,PC,12.000,7.390,9.330000,1,MAGS
